Class_Label,cleaned_text
Normal,susan received enrollment confirmation class sign mistake phillip allen
Normal,jeffbrenda please authorize following products approval customers expecting see pge citygatedaily physical bom physical monthly index physical malindaily physical bom physical monthly index physical keystonemonthly index physical socal borderdaily physical bom physical monthly index physical pge topockdaily physical bom physical monthly index physical please approve forward dale neuner thank phillip
Normal,call cant get
Normal,forecast socal demandrecstorage looks like need gas ehrenbergthe swing receipt point
Normal,griff bidweek need provide view ids two major publications post monthly indeces please email id password following dexter steis natural gas intelligence liane kucher inside ferc bidweek way critical ids sent asap thanks help phillip allen
Normal,jeffbrenda please authorize forward tara sweitzer please set following ability setup manage products stack manager steve south tory kuykendall janie tholt frank ermis matt lenhart note type product traders managing less month physical west also please grant access passwords enable traders execute book book trades eol possible restrict execution authority products first months thank phillip allen
Normal,mary received email message please try phillip
Normal,received file worked good job
Normal,mary write stage misses sent emails maybe mary stalking gary
Normal,phillip allenhouect shockwave team please respond phillip allenhouectect stick shockmachine fir
Normal,naomi two analysts contact matt lenhart vishal apte matt represented jeff shankman vishal joined group october power trading group first months spoke jim fallon agreed excellent category dont want vishal go unrepresented since changed groups mid year call questionsx phillip allen west gas trading
Normal,forecast
Normal,outlook migration teamenron cheryl cindy r wardnaenronenron jo ann hillcorpenronenron sonja gallowaycorpenronenron bilal bajwanaenronenron binh phamhouectect bradley jonesenronenronxgate bruce millscorpenronenron chance rabonenronenronxgate chuck amesnaenronenron david baumbachhouectect jad doanenronenronxgate oneal d winfreehouectect phillip m lovehouectect sladanaanna kulicenronenronxgate victor guggenheimhouectect alejandra chaveznaenronenron anne bikeenronenronxgate carole franknaenronenron darron c gironhouectect elizabeth l hernandezhouectect elizabeth shimcorpenronenron jeff royedcorpenronenron kam keiserhouectect kimat singlahouectect kristen clauseenronenronxgate kulvinder fowlernaenronenron kyle r lillyhouectect luchas johnsonnaenronenron maria garzahouectect patrick rydernaenronenron ryan orourkeenronenronxgate yuan tiannaenronenron frank ermishouectect jane m tholthouectect jay reitmeyerhouectect keith holsthouectect matthew lenharthouectect mike grigsbyhouectect monique sanchezhouectect phillip allenhouectect randall l gayhouectect tori kuykendallhouectect ina normanhouectect jackie travishouectect michael j gasperhouectect brenda h fletcherhouectect jeanne wukaschcorpenronenron mary theresa franklinhouectect mike potternaenronenron natalie bakerhouectect suzanne calcagnonaenronenron albert stromquistcorpenronenron rajesh derek andersonhouectect brad hornhouectect camille gerardcorpenronenron cathy liranaenronenron daniel eva towcorpenronenron lam nguyennaenronenron andy pacenaenronenron anna santuccinaenronenron claudia guerranaenronenron clayton vernoncorpenronenron david ryancorpenronenron eric smithcontractorenron communicationsenron communications grace kimnaenronenron jason kanissenronenronxgate kevin clinecorpenronenron rika imainaenronenron todd decookcorpenronenron beth jensennpngenronenron billi harrillnpngenronenron martha phyllis millernpngenronenron sandy olofsonnpngenronenron theresa byrnenpngenronenron danny mccartyetsenronenron denis tufgtenronenron john ayresfgtenronenron john millarfgtenronenron julie armstrongcorpenronenron maggie schroederfgtenronenron max brownotsenronenron randy cantrellgcoenronenron tracy scottcorpenronenron charles muzzyhouectect cora pendergrasscorpenronenron darren espeycorpenronenron jessica whitenaenronenron kevin bradynaenronenron kirk lenarthouectect lisa kinseyhouectect margie straighthouectect mark l schrabhouectect souad mahmassanicorpenronenron tammy gilmorenaenronenron teresa mcombernaenronenron wes dempseynaenronenron barry feldmannycmgusamgusa catherine huynhnaenronenron surveyinformation email current notes user ensure experience successful migration notes outlook necessary gather individual user information prior date migration please take minutes completely fill following survey double click document put edit mode finish simply click reply history button hit send survey automatically sent outlook migration mailbox thank outlook migration team full name phillip allen login id pallen extension office location ebc type computer desktop laptop pda yes type none ipaq palm pilot jornada ipaq permission access anyones emailcalendar yes anyone permission access emailcalendar yes ina rangel yes responsible updating anyone elses address book yes anyone else responsible updating address book yes access shared calendar yes shared calendar distribution groups messaging maintains mass mailings yes please list please list notes databases applications currently use efforts plan exact datetime migration also need know normal work hours office near future vacation leave etc mmddyy mmddyy
Normal,let know get quotes pauline expecting pay something range would like see quotes description work done understanding rock removed replaced siding getting quotes put new rock need clarify jacques ready drop dollar amount release negotiations stall seems like need go ahead cut utilities hopefully things go smoothly phillip
Normal,jeff jacques craig draw release status quote wade phillip
Normal,send resume karen buckley believe full round interviews trading track may
Normal,phillip allenhouect jay reitmeyer stanley california summary attached final v
Normal,guys coordinate make sure someone listens conference call week tara fundamental group recording calls happened every day phillip phillip allenhouect james d steffesenron phillip allenhouectect western wholesale activities gas power conf call privileged confidential communication attorneyclient communication attorney work product privileges asserted please forward anyone team wants updates western wholesale matters also give opportunity raise state matters want discuss jim james d steffesnaenron ray alvarez steve waltonhouectect susan j maranaenronenron alan comnespdxectect leslie lawnernaenronenron rebecca w cantrellhouectect donna fultoncorpenronenron jeff dasovichnaenronenron christi l nicolayhouectect james d steffesnaenronenron jalexandergibbsbruns phillip allenhouectect linda j noskehouectect western wholesale activities gas power conf call privileged confidential communication attorneyclient communication attorney work product privileges asserted date every thursday time pacific central eastern time number host code jim participant code everyone else attached table ongoing ferc issues proceedings updated use tomorrows conference call available team members o drive please feel free reviseadd update table appropriate proposed agenda tomorrow power discussion ferc market monitoring mitigation order el review upcoming filings gas response subpoenas socal edison rp upcoming items misc unable participate call tomorrow attending senate energy resource committee hearing elements ferc market monitoring mitigation order
Normal,phillip allenhouect kristin walshenronenronxgate cdt john j lavoratoenronenronxgate louise kitchenhouectect phillip
Normal,phillip allenhouect james d steffesenron phillip allenhouectect western wholesale activities gas power conf call
Normal,traveling business meeting takes fun trip especially prepare presentation would suggest holding business plan meetings take trip without formal business meetings would even try get honest opinions whether trip even desired necessary far business meetings think would productive try stimulate discussions across different groups working often presenter speaks others quiet waiting turn meetings might better held round table discussion format suggestion go austin play golf rent ski boat jet skis flying somewhere takes much time
Normal,tim mike grigsby problems accessing west power site please make sure active password thank phillip
Normal,reagan wanted give update changed unit mix include bedrooms reduced number buildings kipp flores working construction drawings time pursuing fha financing construction drawings complete send revised bid original bid competitive still attracted firm strong local presence contacts phillip
Normal,jim going conference call type weekly meeting regulatory issues facing california week make sure gas desk included phillip
Normal,phillip allenhouect ina rangel phillip allenhouectect survey phillip allen full name phillip allen login id p
Normal,send resume karen buckley hr new round trading track interviews may
Normal,phillip allenhouect outlook migration teamenron allison hortonnaenronenron amir baignaenronenron brandon bangerternaenronenron
Normal,phillip allenhouect outlook migration teamenron allison hortonnaenronenron amir baignaenronenron brandon bangerternaenronenron
Normal,alan received updated numbers keith holst call receive phillip
Normal,phillip allenhouect alan comnes phillip allenhouectect joe hartsoecorpenronenron request steve kean phillip got
Normal,phillip allenhouect alan comnes phillip allenhouectect joe hartsoecorpenronenron request steve kean phillip got
Normal,tim authorize access west power site keith holtz southern california basis trader two year contract another note imagination sarr website lower forecast mcnary discharge may seems like flows lowered range fewer days near also second half april doesnt seem panned expected outflows stayed mcnary email call additional insight thank phillip
Normal,gary also speaking johnnie brown san antonio general contractor according johnnie would pay less buying factory versus purchasing panels since site within region assuming true work directly believe sent plans prepared kipp flores architects confirm price direct factory distributor estimates worked johnnie please email well thank time excited potentially using product phillip allen
Normal,ray detail gas cost proxy delivery points publication used basically help us get clarification language average daily cost gas delivery points california phillip
Normal,andrea reviewing bryan hulls resume think would best suited trading track program please forward resume karen buckley phillip
Normal,ned regarding waha storage west desk strong need storage always willing show bid based current summerwinter spreads cycling value following assumptions made establish bid daily injection capacity daily withdrawal capacity fuel injection mmbtu variable injection withdrawal fees also undiscounted june january spread existed time bid bid year storage contract beginning june based assumptions mmbtumonth year demand charges sure exactly need please call email comments phillip allen
Normal,phillip allenhouect ray alvarezenron phillip allenhouectect mornings commission meeting delayed phil suspect
Normal,behind closed doors discussions held prior meeting potential surprise announcement sort fixed price gas power cap open meeting finally happens
Normal,gary photograph similar house dimensions would wide x deep living area addition deep two story porch across entire back across front modification front addition gable across left side living area brought forward gable flush front porch dont floor plan work today bring tomorrow fax copy phillip allen phillip allenhouect hunter shively phillipk
Normal,phillip allenhouect eric bensonenron phillip allenhouectect instructions ferc meetings mr allen per phon
Normal,frank implied risk created san juan rockies indeces partially set today risk long futures position whatever risk prior matter since rest books short price large offset var calculation match companys true risk needs revised adjusted phillip
Normal,spoke insurance company going cancel prorate policy work kuos issue new policy
Normal,phillip allenhouect frank haydenenronenronxgate cdt phillip allenhouectect john arnoldhouectect fyi o sell
Normal,griff bidweek need provide view ids two major publications post monthly indeces please email id password following dexter steis natural gas intelligence liane kucher inside ferc bidweek way critical ids sent asap thanks help phillip allen
Normal,think chad deserves interview
Normal,send resume karen buckley believe full round interviews trading track may
Normal,send resume karen buckley hr new round trading track interviews may
Normal,andrea reviewing bryan hulls resume think would best suited trading track program please forward resume karen buckley phillip
Normal,johnnie thank meeting friday left feeling optimistic panel system would like find way incorporate panels home design showed order make feasible within budget sure take several iterations prospect purchasing panels framers install may considered however first choice would general contractor realize receive number calls seeking information product little probability sale want assure going build house fall would seriously consider using panel system truly slight increase cost stick built please email cost estimates complete thank phillip allen
Normal,ina please forward presentation mog phillip phillip allenhouect karen buckleyenronenronxgate cdt phillip allenhouectect presentation trading track aa hi philip slides preapred assistant email copy mog heu conference new york thanks karen original message allen phillip sent wednesday april buckley karen presentation trading track aa topic western natural gas market may overhead slides bring handouts
Normal,chad call ted bland trading track program desks trying use program train analysts traders experience help process make risk rotation unnecessary unless dying another rotation risk phillip
Normal,send money silent second regular mail overnight wire transfer dont see bank make funds available friday unless wire money need please send wiring instructions
Normal,topic western natural gas market may overhead slides bring handouts
Normal,johnnie thank meeting friday left feeling optimistic panel system would like find way incorporate panels home design showed order make feasible within budget sure take several iterations prospect purchasing panels framers install may considered however first choice would general contractor realize receive number calls seeking information product little probability sale want assure going build house fall would seriously consider using panel system truly slight increase cost stick built please email cost estimates complete thank phillip allen
Normal,phillip allenhouect phillip allenhouectect approved trader list enron wholesale services ees gas desk approved trader list name title regio
Normal,insurance company central insurance agency inc n lamar po box austin tx policy cbi contact jeanette peterson actual policy signed vista insurance partners please try schedule appraiser sometime dad walk around town tuesday else need get done closing phillip
Normal,email insurance info tomorrow
Normal,phillip allenhouect phillip allen jeff richterhouectect tim beldenhouectect tim heizenraderpdxectect
Normal,simplistic spreadsheet didnt drop new generation yet even without new plants looks like q worse last year take look get back bullish case thanks phillip
Normal,try get dad take appraiser couple units let know day time phillip
Normal,larry sounds like claudia jacques almost finished documents one item unsure environmental report prepared original purchase yes shouldnt listed asset partnership costs recovered phillip
Normal,lucy spreadsheet looks fine phillip
Normal,bruce thank bid decided floor plan going architect austin draw plans help work detailed specification list send detailed plan spec list complete final bid probably early mid june phillip
Normal,jeff jacques craig draw release status quote wade phillip
Normal,still use service
Normal,phillip allenhouect enron north america corp stephen swain phillip allenhouectect tim heizenraderpdxectect tim beldenho
Normal,lucy rentroll last friday closing thursday delayed friday april th stay april th would helpful made commitments understand gary planning put ac give work numer phillip
Normal,thanks help
Normal,jed thanks response phillip allen
Normal,phillip allenhouect jed hershey sanjuansocal spread
Normal,reagan sent email last week stating would san marcos friday april th however closing postponed mentioned going cary kipp draw plans residence get back touch finished regarding multifamily project going work project manager san antonio first development project feel comfortable experience obtaining fha financing working kipp flores finalize floor plans begin construction drawings bid construction competive construction estimates still attracted firm possible builder due strong local relationships get back touch made final determination unit mix site plan phillip allen
Normal,jacques amounts needed fill blanks exhibit b follows kipp florestotal contract paid outstanding kohutek cuatro george larry paid appraisal agreed reimburse amount total cash keith pay sellers appraisal engineering couldnt find reference cash consideration paid buyers let know need anything else forward sellers executed phillip
Normal,john regarding employment agreement mike declined without counter keith said would sign cash equity still believe frank receive signing incentives keith phillip
Normal,thanks response think right engaging architect next logical step already contacted cary kipp sent floor plan got back yesterday first draft took plan improved going officially engage cary draw plans works wanted try work detailed specification list also would like visit couple homes built speak satisfied home owners san marcos friday april th homes near completion could walk day also provide references plans specs send adjust bid phillip
Normal,distribution list send traders phillip phillip allenhouect fred lagrastahouectect phillip allenhouectect scott nealhouectect james w lewishoueesees ees gas desk happy hour fredphillipscott happy hour sambuca thursday please guests invite anyone desks would interested meeting new gas desk team thank jess
Normal,ina please forward presentation mog phillip phillip allenhouect karen buckleyenronenronxgate cdt phillip allenhouectect presentation trading track aa hi philip slides preapred assistant email copy mog heu conference new york thanks karen original message allen phillip sent wednesday april buckley karen presentation trading track aa topic western natural gas market may overhead slides bring handouts
Normal,jacques assets liabilities willing assume listed assets land preliminary architecture designkipp flores architects preliminary engineeringcuatro consultants ltd soils studykohutek engineering testing inc appraisalatrium real estate services liabilities note phillip allen outstanding invoices kipp flores cuatro kohutek additional consideration concessions forgive interest due reimburse appraisal partial payment engineer let know need detail phillip
Normal,location ebc
Normal,phillip allenhouect parking transportationenron sent deshonda hamiltonenron brad alfordnaenronenron megan angelosenronenronxga
Normal,
Normal,jacques office rest week ever seen anyone miss much work last weeks assure unusual hopefully sign documents monday call cell phone need phillip
Normal,reagan still reviewing numbers initial thoughts proposing cost plus contract cap role would play obtaining financing experience fha d loans although fees lower george larry still getting market quotes lower yet received estimates structured follows onsite expenses supervision clean equipment overhead profit wanted give initial feedback also attached extremely primitive spreadsheet outline project see even reducing builders fees numbers project would generate cash flow return thrilled low return think need find way get total cost would boost return ideas realize offering significant development experience plus local connections discounting services office rest week call early next week phillip
Normal,cary picture house mind going simple farmhouse style place acres near wimberley points might obvious plans double porch across back like front dormers metal roof bath stairs overall dimensions looking little design help kitchen cabinets maybe different shaped island way enlarge pantry reagan suggested find way make exterior attractive want keep simple roof line avoid leaks thinking bringing left side forward front house place gable front might look good exterior stone stucco also front porch would smaller bids builders around ready go ahead plans done spec finishings choose builder wanted give opportunity work mentioned alternative ft thought since detailed sketch might consider job less reagan allowed phillip allen phillip allenhouect hunter shively phillipk
Normal,phillip allenhouect phillipk nondeliverable mail cary picture
Normal,phillip allenhouect phillipk nondeliverable mail transcript session fo
Normal,cary picture house mind going simple farmhouse style place acres near wimberley points might obvious plans double porch across back like front dormers metal roof bath stairs overall dimensions looking little design help kitchen cabinets maybe different shaped island way enlarge pantry reagan suggested find way make exterior attractive want keep simple roof line avoid leaks thinking bringing left side forward front house place gable front might look good exterior stone stucco also front porch would smaller bids builders around ready go ahead plans done spec finishings choose builder wanted give opportunity work mentioned alternative ft thought since detailed sketch might consider job less reagan allowed phillip allen phillip allenhouect hunter shively phillipk
Normal,chad call ted bland trading track program desks trying use program train analysts traders experience help process make risk rotation unnecessary unless dying another rotation risk phillip
Normal,problem
Normal,reagan thank quick response bid residence list questions specs framing lumber yellow pine wouldnt fir spruce warp less cost type floor joist would used x sort factory joist type roof framing site built rafters engineered trusses planning insulation floors dampen sound type insulation floors ceiling batts blown fiberglass cellulose ridge venting vents power turbine bid interior windows trim sides didnt know difference apron stool anything special upstairs tile floors prevent cracking double plywood hardi board underlay stairs allow bannister thinking partial one iron feet label plan intending bath stairs pedestal sink would probably work undermount sinks different drop ins thinking undermount stainless kitchen undermount cast iron baths ac units assuming prewired sound indoors outdoors door drawer pulls cabinets bath cabinets exterior porches included bid cedar decking upstairs iron railings type construction contract would use fixed price except change orders want get painfully detailed specs make decision start think ready get plans drawn going call cary kipp see setting design meeting see like ideas phillip
Normal,larry jacques sent document claudia review dropping line confirm seen phillip
Normal,jacques would ok signed new consulting agreements engineer architect sent agreements payment george larry made architect written personal checks amounts architect engineer wondering prior work even needs listed asset partnership would like agreements consultants partnership wait partnership conveyed sign name partnership let know think phillip
Normal,phillip allenhouect hunter shively phillipk
Normal,phillip allenhouect hunter shively phillipk
Normal,greg comments questions cost estimates cost per square foot seem low construction sf grosssf rentable cost onsite general requirements represent review builders profit fees mentioned overhead profit profit architect fees thought would profit allowance developers profit boost loan amount real cost total closing application costs seems high receives points much sunk costs fha declines us receiving one points loan status operating pro forma back envelope puts noi assuming br br br vacancy expenses debt service would leave coverage would talk afternoon phillip
Normal,grif please provide temporary id phillip phillip allenhouect dexter steis phillipk ngi access eol hi phillip time month could kind thanks dexter dexter steis executive publisher intelligence press inc glenn drive suite sterling va tel fax wrote dexter receive guest id shortly phillip
Normal,john mike fine signing new contract reading terms course prefers set strikes month period existing contract pays retention payment next week still wants receive payment phillip
Normal,reagan photograhph house mind specific features include stained scored concrete floors downstairs wood stairs two story porches front rear granite counters kitchens baths tile floors upstairs baths metal roof w gutters dormers cherry maple cabinets kitchen baths solid wood interior doors windows fully trimmed crown molding downstairs living areas x wall west side undecided items include vinyl aluminum windows wood carpet upstairs bedrooms game room exterior stucco w stone apron window trim rough white brick sides faxed floor plans dimensions may small read overall dimensions x total sq ft roof livable space deduct garage savings simplicity design basically box simple roof line call questions phillip phillip allenhouect hunter shively phillipk
Normal,send money silent second regular mail overnight wire transfer dont see bank make funds available friday unless wire money need please send wiring instructions
Normal,greg something forgot ask know hugo planning replatt using administrative process understand quicker full replatting process weeks also let know parking builder san marcos believed plan parking spots would require code townhomes across street serious parking problem probably planned students park garages instead used extra rooms phillip
Normal,keith holst sent email details
Normal,jacques agreement looks fine comment george larry might object language bank requested finance construction project declined make loan based high costs construction project technically bank lowered loan amount based lower estimates rents altered amount equity would required loan thought less regarding exhibit assets include land architectural plans engineering completed appraisal soils study items state partial completion consultants speaking directly architect engineer soils engineer unclear best way proceed consultants obligations include fees owed consultants need list balances due list work completed asset give consideration cash paid engineer appraisor phillip
Normal,phillip allenhouect phillip allenhouectect current gas desk list hope helps current gas desk list personal
Normal,steve try brad
Normal,larry jacques working claudia check progress morning let know phillip
Normal,greg note let know office wed thurs kids spring break san marcos reach cell phone email planning stopping see hugo elizondo thursday drop check give green light file replatting change want try complete project phases need change going submit city spoke gordon kohutek morning contracted complete soils study says done report end week dont know needs report told gordon might call inquire work performed number spoke phone issues talk later phillip
Normal,jacques larry lewters response request documentation support read longer issue think last issue resolve phillip phillip allenhouect larry lewter buyout phillip title company held escrow returned longer issue larry original message phillipk sent monday march buyout larrry realize disappointed project desire left pocket expenses item list need clarification worth extensions mentioned applied cost land actually represents cash investment land agree refunded cash investment request help locate amount closing statement document phillip
Normal,ina help approve request phillip phillip allenhouect arsystem phillipk approval overdue access request mike request pending approval days please click approval review act upon request request id request create date requested mike resource name market data bloomberg resource type applications
Normal,jacques still trying close loop extensions assuming worked today tomorrow would like get whatever documents need completed convey partnership done need work engineer architect get things moving planning writing personal check engineer setting new accounts let know reason thanks help far connections expertise structuring loan saved us getting bad deal phillip
Normal,topic western natural gas market may overhead slides bring handouts
Normal,larrry realize disappointed project desire left pocket expenses item list need clarification worth extensions mentioned applied cost land actually represents cash investment land agree refunded cash investment request help locate amount closing statement document phillip
Normal,jacques think reached agreement george larry pick items value pay fees time looks able use everything done engineering architecture survey appraisal one point unclear claim extensions paid applied purchase price land like earnest money would applied looked closing statements didnt see applied purchase price help clear assuming clear need get property released keith concerned taking bishop corner partnership risk could undisclosed liabilities hand conveyance partnership would time money saver clean inclination call soon chance review phillip
Normal,phillip allenhouect mike grigsby phillip allenhouectect matt smith lets talk matt forecast sheets socal
Normal,lucy rentroll questions missed rent special reasons looks like five vacancies want run ad paper discount fine write letter recommendation need use reference next two weeks really good idea whether sale going phillip
Normal,also need know base salaries jay reitmeyer monique sanchez job matt
Normal,phillip allenhouect arthur odonnell please respond behind stage two fyi wes
Normal,thanks information would helpful would send detailed worksheet mentioned surprised hear restricted shares left ones granted january always elected defer distributions restricted stock believe selected minimum amount required kept enron stock saying previous grants fully vested distributed deferral account thank looking issue phillip
Normal,phillip allenhouect phillipk sagewood mf see attached file outlinedoc
Normal,lucy somehow email account lost rentroll sent tuesday please resend roll week morning phillip
Normal,phillip allenhouect keith holst phillip allenhouectect
Normal,jeff office today isssues deal stagecoach phillip
Normal,phillip allenhouect george richards please respond phillip allen
Normal,phillip allenhouect phillip allen buyout spreadsheet slight tweak
Normal,gentlemen today finally received information status work done date spoke hugo alexandro cuatro consultants property still two parcels hugo completed platt combine one lot ready submit city san marcos also completed topographical survey tree survey addition begun coordinate city replatting couple easements smaller parcel well beginning work grading hugo going fax written letter scope work engaged complete total cost services estimated due work completed trying resolve issues outstanding work bills incurred original developer obtain title land continue use cuatro would one less point contention hugos number thought might want contact directly ask questions spoke possibility call fine going try determine work performed kipp flores used keith appreciate meeting us sunday left optimistic prospect working project call feedback speak hugo ideas moving project forward phillip
Normal,buyout spreadsheet slight tweak format summary presents numbers concessions
Normal,jacques george finally sent information please look email wants us buy keith think joke still need speak engineer find soil study determine value going forward dont believe architect work use us dont think deserve compensation time due fact intentional project proposing unsupportable market version buyout attached need expert advise ready offer version threaten foreclose case due money time since cost fees didnt hold versus market didnt execute contract wouldnt think would stand chance isnt time waste want respond offer asap call thoughts phillip phillip allenhouect george richards please respond phillip allen keith holst larry lewter claudia l crocker bishops corner ltd buyout imageimage horseshoe ledge austin tx telephone fax email march phillip allen keith holst enron smith street houston tx bishops corner ltd restructure buyout dear phillip keith prepared sell bishops corner ltd reimbursement cash expenditures compensation management services assumption note obligations design contracts shown attached summary table cash expenditures total existing contracts architect civil engineer soils testing company appraisal total due contracts current unpaid invoices due total acting good faith invested enormous amount time project five months completed major design preconstruction elements major project firm size given top priority projects delayed rejected left project pursue two methods valuing development management based percentage minimum mm fee earned based prior valuation time first feel least minimum mm fee earned date second prior correspondence valued time per year would mean period worth either valuations seem quite fair reasonable especially neither includes forfeit interest project worth mm however hope maintain good relationship prospect future projects willing accept small monthly fee per month cover portion direct time overhead shown attached table fee plus cash outlays less accrued interest brings total net buyout still believe project needs professional services offer provided however accept terms buyout offer truly feel quite fair reasonable prepared bought leave extraordinary project choice either contact us attorney contact attorney claudia crocker later friday week attorneys draft whatever minimal documents necessary transfer bishops corner ltd partnership following receipt buyout amount assumption outstanding professional design contracts thank sincerely image george w richards president ps copies contracts upon acceptance buyout larry lewter claudia crocker imagewmz imagegif imagepng imagegif headerhtm oledatamso restructure buyoutxls
Normal,phillip allenhouect benotti stephen fw tax questions answered noti
Normal,george didnt receive information work completed started please send morning havent discussed proceed land easiest treatment would deed us however might advantageous convey partnership also would like speak hugo today didnt find quattro engineering buda put contact talk later phillip
Normal,phillip allenhouect mike grigsby phillip allenhouectect matt smith lets matt start following database ho
Normal,lucy rentroll week outstanding balance looks like week dont think make pay late fees cant communicate clearly still owe deposit day pay going pay monthly biweekly good weekend talk next week two weeks know sure buyers going buy property keep informed phillip
Normal,please approve mike grigsby bloomberg thank phillip allen
Normal,phillip allenhouect phillip allenhouectect approved trader list enron wholesale services ees gas desk approved trader list name title regio
Normal,phillip allenhouect phillipk sagewood phase ii forward
Normal,darrell today let builderdeveloper know would proceed excessively high cost estimates funds take land agreeable turning land would like proceed develop property thought compare financing bank one fha would also like compare construction development services local builder san marcos speaking making trip meet take look projects seems order trying get status engineering architectural work date architect kipp florres engineer quattro consultants buda let know opinion either look forward working talk tomorrow phillip
Normal,phillip allenhouect tim heizenrader phillip allenhouectect tim beldenhouectect chris gaskillcorpenronenron revised
Normal,reagan cost estimate proforma prepared george larry faxing site plan elevation floor plans phillip
Normal,refaxed please confirm receipt
Normal,faxed signed amendment
Normal,daryl file includes proforma unit costs comps file prepared builderdeveloper architect begun work project kipp flores austin thank time evening comments helpful appreciate greg taking look project phillip allen
Normal,al going ms year thanks offer though well went colorado last week kids learned ski work always things going new power potential phillip
Normal,john put frank hayden decision would consider authorizing mike g frank e keith h trade west power think phillip phillip allenhouect frank haydenenronenronxgate cst phillip allenhouectect fw cross commodity original message hayden frank sent friday march presto kevin zufferli john mckay jonathan belden tim shively hunter neal scott martin thomas allen phillip arnold john cross commodity importance high ive asked provide updated list authorized cross trade commoditiesproducts soon possible please reply email names authorized cross commodity traders respective commodities natural gas crude heat gasoline weather precip coal power forex list currency etc thanks frank ps traders limited one commodity need included lis
Normal,george back office ready focus project still concerns last week specifically costs project high gathered information support concerns based research believe project cost around million components follows unit cost site work builders profitsf million land interim financing common areas total since reagans last units selling around unable get comfortable building larger project unit costs also comps used appraisal austin appear class properties seems unlikely student housing san marcos produce rent sales price adjustments location seasonal nature student rental property recognize sagewood currently performing occupancy foot rental rates closer appraisal pro formas however believe market sustain levels permanent basis supply inevitablely increase drive market balance real estate expert houston reviewed proforma cost estimates comments appraisal overly optimistic feels permanent financing would potentially around million would even able cover interim financing keith reviewed project thoroughly agreement cannot proceed total cost estimates significantly million would like conference call tuesday afternoon discuss alternatives phillip
Normal,insurance company central insurance agency inc n lamar po box austin tx policy cbi contact jeanette peterson actual policy signed vista insurance partners please try schedule appraiser sometime dad walk around town tuesday else need get done closing phillip
